release_id,event_id,development,human_direction,ai_direction,complete_written_source,human_evidence,ai_evidence,source_urls
2026-W35,00284c14-1d24-4e37-992a-63434b8974b9,Charts that explain the rise of artificial intelligence,gain,gain,True,"The body describes cheaper model access, downloadable open models and new employment or financial opportunities, beyond the adoption statistic used in the old rationale.","Benchmarks, model capability, adoption, investment and infrastructure expand.",https://english.elpais.com/technology/2026-08-29/charts-that-explain-the-rise-of-artificial-intelligence.html
2026-W35,00396d3e-532a-4f9c-ae6d-69e909d3f426,Z.ai shares surge 8% after releasing new AI model running only on Chinese chips,unresolved,unresolved,False,No article body or adequate transcript was available for a defensible human-axis judgment.,No article body or adequate transcript was available for a defensible AI-axis judgment.,https://www.cnbc.com/2026/08/27/zai-shares-surge-new-ai-model-using-chinese-chips.html
2026-W35,07dd1da3-4efe-4177-9d12-cd22a1c8d5b5,Video: Artificial Intelligence: A Deadlier Threat to Information,unresolved,unresolved,False,No article body or adequate transcript was available for a defensible human-axis judgment.,No article body or adequate transcript was available for a defensible AI-axis judgment.,https://information.tv5monde.com/science/video/lintelligence-artificielle-menace-mortelle-sur-linformation-2834832
2026-W35,0b6a05bf-f28d-43c5-8325-bac94d9170f6,"China Telecom Artificial Intelligence Technology (Beijing) Co., Ltd. Launches Full Campus Recruitment for the 2027 Class",gain,gain,True,"The recruitment poster lists specific graduate roles, salary and benefits, mentoring, training, promotion paths and relocation eligibility.","The AI company recruits algorithm, infrastructure, platform and project specialists to strengthen its model and deployment resources.",http://www.sasac.gov.cn/n2588035/n2588325/n2588350/c35816109/content.html
2026-W35,0f88ac0e-34c9-4291-a626-9ebe99b4c9bd,The boundaries of scientific research are being redefined—Beijing’s artificial intelligence is enhancing scientific research at its forefront.,gain,gain,True,"Researchers describe shorter literature and analysis tasks, less repetitive laboratory work, threefold processing efficiency and lower experimental error.","Scientific models, autonomous lab orchestration and analysis platforms are deployed across institutions and research workflows.",https://www.news.cn/liangzi/20260824/24950155984f4fd9a00234aa80112378/c.html
2026-W35,1115366b-1c5e-4835-8a89-f72a446312ed,C3.ai vs. UiPath: Which Artificial Intelligence Stock Is a Better Investment in 2026?,gain,mixed,True,UiPath automates repetitive work and C3.ai's consumption pricing targets access for smaller customers.,"UiPath's platform, agents and revenues expand while C3.ai's revenues fall and losses constrain its business; both face dependency and competition risks.",https://www.theglobeandmail.com/investing/markets/stocks/AI/pressreleases/4331944/c3ai-vs-uipath-which-artificial-intelligence-stock-is-a-better-investment-in-2026
2026-W35,1117bece-0bee-4b48-beb6-590720633fb6,"Should AI ""revive"" the dead?",unresolved,unresolved,False,No article body or adequate transcript was available for a defensible human-axis judgment.,No article body or adequate transcript was available for a defensible AI-axis judgment.,https://www.la-croix.com/societe/faut-il-laisser-l-intelligence-artificielle-faire-revivre-les-morts-20260825
2026-W35,143ad789-0ff0-4645-9380-98153c556ab3,Reviewing Artificial Intelligence in Materials Discovery,gain,mixed,True,"The article describes faster, more consistent forensic analysis and predicts improved evidential fairness when systems are properly validated.","AI extends spectroscopic classification and multimodal analysis; admissibility, reproducibility and validation requirements bound forensic use.",https://www.spectroscopyonline.com/view/reviewing-artificial-intelligence-in-materials-discovery
2026-W35,152394eb-4b37-4022-97bd-01ecd82e4114,"Seminar ""Artificial Intelligence, Creation and Research: Transformations of Knowledge and Practices",gain,none,True,"The open seminar offers researchers, artists and professionals access to exchange about AI's effects on creative and research practice.",The text asks questions about changing practices but does not specify a directional gain or loss in AI capability or permitted operation.,https://nouvelles.univ-rennes2.fr/event/seminaire-intelligence-artificielle-creation-recherche-mutations-savoirs-pratiques
2026-W35,15aba3c7-7559-4e74-8ea9-993be6fb3261,What Snowflake (SNOW)'s Cortex AI Model Routing Push Means For Shareholders,gain,mixed,True,"Teams gain model choice, centralized governance and lower costs through routing simpler tasks to cheaper models.","More models and agent integrations become available, while routing and cost controls bound which models handle workloads; competition and monetization risks are forecasts.",https://uk.finance.yahoo.com/news/snowflake-snow-cortex-ai-model-050431503.html
2026-W35,16fb7116-2b40-47e1-ae66-0fc7814a024a,Artificial Intelligence: Ads Are Coming to ChatGPT in France,unresolved,unresolved,False,Advertisers gain a new paid channel alongside ChatGPT responses. The supplied excerpt asserts user controls and conversation privacy; it does not establish that ads influence answers or remove user control.,OpenAI expands advertising into 31 European territories and diversifies revenue.,https://www.lemonde.fr/economie/article/2026/08/24/intelligence-artificielle-les-publicites-arrivent-sur-chatgpt-en-france_6755543_3234.html
2026-W35,172e55ac-d3d8-4909-b0d9-e33d1778109e,Artificial Intelligence: Five Things to Know About Anthropic Before Its IPO That Could Exceed SpaceX's Record,unresolved,unresolved,False,No article body or adequate transcript was available for a defensible human-axis judgment.,No article body or adequate transcript was available for a defensible AI-axis judgment.,https://www.sudouest.fr/sciences-et-technologie/intelligence-artificielle/intelligence-artificielle-cinq-choses-a-savoir-sur-anthropic-avant-son-entree-en-bourse-qui-pourrait-surpasser-le-record-de-spacex-30395776.php
2026-W35,1aeb2829-ecd4-4c3c-b547-eb50a1db2a90,A Cultural History of Artificial Intelligence,none,none,True,The notice introduces a cultural-history book and poses questions about knowledge and teaching; it supplies no particular directional human effect.,"The historical panorama does not establish a new AI capability, resource change, restriction or failure.",https://www.fabula.org/actualites/135499/une-histoire-culturelle-de-l-intelligence-artificielle-27-08.html
2026-W35,1cc7aa2a-089c-476e-9c7f-4a0c5dce3774,"“Time”’s Global Top 100 AI Figures Revealed: About 70% Are from the U.S., 9 from China on the List",none,gain,True,"Naming influential people does not establish a new change in their capacity, rights or opportunities, nor a directional effect on the wider public.","The accompanying analysis describes capital-market expansion, larger infrastructure investment and internationally competitive Chinese model capabilities.",https://www.voachinese.com/a/time-reveals-the-2026-time-100-ai-20260828/8191627.html
2026-W35,1e5f8b9a-8366-4555-8ffa-d67018eb6c5f,The state of AI in 2026: On the road to ROI,mixed,mixed,True,"Respondents report productivity, skills and decision benefits, but also work-related strains and AI-attributed workforce reductions. Effects differ by seniority.",Enterprise and agent deployment expand. Operating costs already limit AI use in about one fifth of surveyed organizations.,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai
2026-W35,207bb492-9b47-45e4-9a02-06433350195d,Artificial intelligence: Trump administration sanctions against Anthropic canceled by a federal judge,gain,mixed,True,The ruling protects criticism of government and preserves the company's ability to refuse autonomous lethal attacks and mass surveillance uses.,"One set of contract sanctions is annulled, restoring access, but a separate procurement restriction remains unresolved and the company's use restrictions persist.",https://www.lemonde.fr/international/article/2026/08/28/intelligence-artificielle-le-bannissement-d-anthropic-par-l-administration-trump-est-illegal-decide-la-justice-americaine_6758773_3210.html
2026-W35,2394ef80-4482-46a4-8675-41d815045eeb,AI: Nvidia Aims to Reassure Frenzied Markets on Demand Growth,unresolved,unresolved,False,"The accessible introduction contains no specific resulting human capacity, access, control or livelihood effect.","AI-chip revenue and demand grow rapidly, while supply-chain shortages constrain further production, according to the company.",https://www.lemonde.fr/economie/article/2026/08/27/intelligence-artificielle-nvidia-cherche-a-rassurer-les-marches-febriles-sur-la-croissance-de-la-demande_6757800_3234.html
2026-W35,27459097-7617-4a62-81cf-ba1835f7f467,Global Cognitive Computing and Artificial Intelligence,gain,mixed,True,"The release describes diagnostic throughput, reduced errors, specialist capacity, patient monitoring and faster drug-discovery work as concrete uses and expected benefits.","Deployment, clinical functions and investment expand; transparency problems, regulatory uncertainty and compliance costs are described as adoption constraints.",https://www.globenewswire.com/news-release/2026/08/27/3352287/0/en/global-cognitive-computing-and-artificial-intelligence-systems-market-in-healthcare-to-reach-significant-scale-driven-by-rising-chronic-disease-burden-and-healthcare-digitalization.html
2026-W35,2cce67b0-7fa9-49e1-b76f-ebe366fff9e9,"Palantir Billionaire Peter Thiel Just Bought This Magnificent Artificial Intelligence (AI) Stock Up 347,260% Since Its IPO",none,mixed,True,"The focal argument concerns a hedge fund's Amazon investment. It does not establish a separate change in people's capabilities, rights or control from AI.","AWS compute, chips, model hosting and revenue expand, while capital expenditure makes free cash flow negative and competitors constrain market power.",https://www.theglobeandmail.com/investing/markets/stocks/WMT/pressreleases/4236037/palantir-billionaire-peter-thiel-just-bought-this-magnificent-artificial-intelligence-ai-stock-up-347260-since-its-ipo
2026-W35,2d35d24e-ecd1-4ecc-a6db-a20743a85385,Could Artificial Intelligence Be Conscious?,none,none,True,The main question concerns the relation between biological life and consciousness; the article does not describe a directional change in human empowerment.,"Existing AI abilities provide context for a philosophical question, not a newly reported expansion, restriction or failure.",https://nouvelles.umontreal.ca/article/2026/08/26/l-intelligence-artificielle-pourrait-elle-etre-consciente
2026-W35,2dccc286-c4c7-482d-a07c-a885f0c7d011,"From technical validation to production implementation, digital intelligence productivity kicks off a new cycle for AI.",gain,mixed,True,"The proposed infrastructure lets teams reuse systems, reduce data movement, measure costs and manage risks, addressing specific cost and control problems.","Gateways, storage and infrastructure enable production workloads, while cost, infrastructure mismatch, security and compliance constrain scaling.",https://www.stdaily.com/web/gdxw/2026-08/28/content_571521.html
2026-W35,2e452bbd-a9b1-441f-90d9-c7fd2477dc09,Artificial intelligence in electronic health records still needs fine tuning,mixed,mixed,True,"AI reduces some physicians’ administrative work, but inadequate summaries force clinicians to reread visit notes and recover missing decision information.",AI is deployed in health records but its summaries often fail to supply clinically useful encounter-level information.,https://www.ucihealth.org/about-us/news/2026/08/artificial-intelligence-electronic-health-record
2026-W35,2ff5d6f9-c42e-4684-b657-a4d553aecbec,Can you rely on artificial intelligence for investment advice?,mixed,mixed,True,"Investors can understand jargon and research companies faster, but reliance on inaccurate, unpersonalized advice can undermine judgment and expose money without the protection users assume.",AI use and decision influence expand among investors; the author urges limiting AI to research assistance rather than final decisions and identifies accuracy and contextual limitations.,https://www.thearmchairtrader.com/features/can-you-rely-on-artificial-intelligence-for-investment-advice
